"Bacteria","Climate_Factor","NAME","Region","Climate_Zone_Majority","n_observations","effect","se","OR","CI_Lower","CI_Upper","Z_value","P_Value","Significance","Effect_Direction"
"CR-Ec","Temperature","Switzerland","Europe and Central Asia","Temperate Zone",4,0.0262918747210019,0.00994671739245483,1.02664055517311,1.00681945594635,1.04685186932097,2.64327151196091,0.00821091630782668,"**","Positive"
"CR-Kp","Temperature","Switzerland","Europe and Central Asia","Temperate Zone",4,-0.0913485763114273,0.0394469259614112,0.9126995100152,0.844792240407693,0.98606539659973,-2.31573371270524,0.0205728124913278,"*","Negative"
"CR-Pa","Temperature","Switzerland","Europe and Central Asia","Temperate Zone",5,-0.0236730425328028,0.0170998315885167,0.97660496584957,0.944415829527504,1.00989122535061,-1.38440208666735,0.166235370370124,"","Negative"
"3GCR-Ec","Temperature","Taiwan","East Asia and Pacific","Temperate Zone",7,0.0976347383043288,0.0321183820114611,1.1025599886189,1.03529116869255,1.17419965055677,3.03983987330024,0.00236703960479675,"**","Positive"
"3GCR-Kp","Temperature","Taiwan","East Asia and Pacific","Temperate Zone",7,0.0456463349651841,0.0133006775031064,1.0467041628247,1.01976989331751,1.07434982308645,3.43188044026505,0.000599411749531254,"***","Positive"
"CR-Ab","Temperature","Taiwan","East Asia and Pacific","Temperate Zone",7,-0.0140604546764963,0.0303039671847067,0.986037931856772,0.929176814637529,1.04637867383687,-0.463980659390105,0.642661602376961,"","Negative"
"CR-Ec","Temperature","Taiwan","East Asia and Pacific","Temperate Zone",7,0.0081347975164863,0.00650486890956383,1.00816797488451,0.995395886031673,1.02110394451679,1.25057055408543,0.211091199286255,"","Positive"
"CR-Kp","Temperature","Taiwan","East Asia and Pacific","Temperate Zone",7,-0.0629062148520409,0.0232654191397036,0.939031536771178,0.897173120263946,0.982842895239019,-2.70385048617879,0.00685411218897534,"**","Negative"
"CR-Pa","Temperature","Taiwan","East Asia and Pacific","Temperate Zone",8,-0.0154436888090319,0.0104136653526812,0.984674953409928,0.964780685002437,1.00497945175011,-1.48302142290904,0.138068719069678,"","Negative"
"3GCR-Ec","Temperature","Thailand","East Asia and Pacific","Tropical Zone",10,-0.0955949374973568,0.0570470530009759,0.908832075315083,0.81268868716772,1.01634950032356,-1.67572087370966,0.0937928792206919,"","Negative"
"3GCR-Kp","Temperature","Thailand","East Asia and Pacific","Tropical Zone",10,-0.0253713864792312,0.0300316232913451,0.974947762366852,0.91921671517646,1.03405771854536,-0.844822347200362,0.398210035498801,"","Negative"
"CR-Ab","Temperature","Thailand","East Asia and Pacific","Tropical Zone",9,0.360557971122878,0.050556948206667,1.43412939414524,1.29883323852427,1.5835190062492,7.13171945523664,9.91227532991792e-13,"***","Positive"
"CR-Ec","Temperature","Thailand","East Asia and Pacific","Tropical Zone",10,-0.0359669581448899,0.0116877330849159,0.964672167514519,0.942824695016723,0.987025897492699,-3.07732542175425,0.00208867143490291,"**","Negative"
"CR-Kp","Temperature","Thailand","East Asia and Pacific","Tropical Zone",9,0.138746019556768,0.0444669948664994,1.14883228201496,1.05294469417176,1.2534519804365,3.12020229775627,0.00180726875885098,"**","Positive"
"CR-Pa","Temperature","Thailand","East Asia and Pacific","Tropical Zone",6,0.0232690327338992,0.018208613138327,1.02354186877649,0.987656958997435,1.06073059840728,1.27791351033323,0.201279923833381,"","Positive"
"3GCR-Ec","Temperature","Tunisia","Middle East and North Africa","Temperate Zone",2,-0.390043661918515,0.132946988617877,0.677027313541429,0.521722334112939,0.878563084826461,-2.93382848286693,0.0033480916766875,"**","Negative"
"3GCR-Kp","Temperature","Tunisia","Middle East and North Africa","Temperate Zone",2,-0.111358929293527,0.0398696272848389,0.894617586836817,0.827369904851167,0.967331083696718,-2.7930767573509,0.00522093016802108,"**","Negative"
"CR-Ab","Temperature","Tunisia","Middle East and North Africa","Temperate Zone",2,0.200953590585507,0.075972110216122,1.22256803184017,1.05342657392476,1.41886737004253,2.64509686533444,0.00816675348405446,"**","Positive"
"CR-Ec","Temperature","Tunisia","Middle East and North Africa","Temperate Zone",2,-0.0311046955610088,0.0248250944346806,0.969374078600122,0.923336184421064,1.01770743973499,-1.25295376591017,0.210222533120813,"","Negative"
"CR-Kp","Temperature","Tunisia","Middle East and North Africa","Temperate Zone",2,0.193745379495515,0.0804909610804139,1.21378718850074,1.03663832277837,1.42120863814863,2.40704517494772,0.0160821803854667,"*","Positive"
"3GCR-Ec","Temperature","Turkey","Europe and Central Asia","Temperate Zone",4,0.0488377972127232,0.0351371984736161,1.05005001588665,0.980168178040403,1.12491413266235,1.3899172197634,0.16455401598073,"","Positive"
"3GCR-Kp","Temperature","Turkey","Europe and Central Asia","Temperate Zone",4,0.0422652449422577,0.0176633461143114,1.04317113792616,1.00767438484751,1.0799183142547,2.39282209999911,0.0167193455805338,"*","Positive"
"CR-Ab","Temperature","Turkey","Europe and Central Asia","Temperate Zone",3,0.137827569110641,0.0346182751841236,1.14777762089414,1.07248217297779,1.22835931469856,3.98135286572136,6.85241331377567e-05,"***","Positive"
"CR-Ec","Temperature","Turkey","Europe and Central Asia","Temperate Zone",4,-0.013096204263564,0.00706628850995423,0.986989177885716,0.973413678156874,1.00075400533516,-1.85333562946311,0.0638342673709298,"","Negative"
"CR-Kp","Temperature","Turkey","Europe and Central Asia","Temperate Zone",4,0.00199398868206366,0.0283124840118192,1.0019959779995,0.947907381839842,1.0591709265714,0.070427896091041,0.943853088500026,"","Positive"
"CR-Pa","Temperature","Turkey","Europe and Central Asia","Temperate Zone",5,-0.000776456633507641,0.00984683897046287,0.99922384473094,0.980123925210644,1.01869596914931,-0.0788533899901017,0.937149237142533,"","Negative"
"3GCR-Ec","Temperature","United Arab Emirates","Middle East and North Africa","Temperate Zone",1,-0.666602819260185,0.382815772600474,0.513449900430578,0.242459223427706,1.08732015439609,-1.74131492736556,0.0816283910471939,"","Negative"
"3GCR-Kp","Temperature","United Arab Emirates","Middle East and North Africa","Temperate Zone",1,-0.156044795923138,0.0530502172767499,0.855520865665689,0.771033680816873,0.949265861919209,-2.94145441684226,0.00326674918169878,"**","Negative"
"CR-Ab","Temperature","United Arab Emirates","Middle East and North Africa","Temperate Zone",1,-1.13232663926323,0.189062699644492,0.322282548216771,0.222486349333853,0.466842308285795,-5.9891593708988,2.10928398149978e-09,"***","Negative"
"CR-Ec","Temperature","United Arab Emirates","Middle East and North Africa","Temperate Zone",1,0.0712818162726364,0.0789366612168666,1.07388382116394,0.91995176495301,1.25357274728047,0.903025478577062,0.366512372765213,"","Positive"
"CR-Kp","Temperature","United Arab Emirates","Middle East and North Africa","Temperate Zone",1,-0.195897893202223,0.221048946428692,0.822096172000416,0.533042655891953,1.26789499592079,-0.886219529055377,0.375499242084574,"","Negative"
"3GCR-Ec","Temperature","United Kingdom","Europe and Central Asia","Temperate Zone",17,0.0999462026580593,0.0333827307184761,1.1051114644171,1.03511864236264,1.17983707258773,2.9939492817687,0.00275391718793406,"**","Positive"
"3GCR-Kp","Temperature","United Kingdom","Europe and Central Asia","Temperate Zone",13,0.0412471442149086,0.0142214552050779,1.04210962508708,1.01346291175055,1.07156607124704,2.90034624587369,0.0037275065900981,"**","Positive"
"CR-Ab","Temperature","United Kingdom","Europe and Central Asia","Temperate Zone",6,-0.0520152331029754,0.0323865027682106,0.949314405728648,0.89092700601768,1.01152825634073,-1.60607749083768,0.108256884866242,"","Negative"
"CR-Ec","Temperature","United Kingdom","Europe and Central Asia","Temperate Zone",12,0.0137976558366579,0.00702816473468714,1.01389328279307,1.00002245320874,1.02795650797086,1.96319471121106,0.0496235536714934,"*","Positive"
"CR-Kp","Temperature","United Kingdom","Europe and Central Asia","Temperate Zone",13,-0.0737085416633357,0.0253185695327211,0.928942402396698,0.883969306635834,0.976203563282824,-2.91124431686698,0.00359992405952483,"**","Negative"
"CR-Pa","Temperature","United Kingdom","Europe and Central Asia","Temperate Zone",13,-0.0182244419044151,0.0115233868525668,0.981940619001678,0.960011245875286,1.00437092105758,-1.58151784172339,0.113759682754822,"","Negative"
"3GCR-Ec","Temperature","United States of America","North America","Temperate Zone",15,0.100145978723736,0.033973987848323,1.10533226129183,1.03412634851313,1.18144113590101,2.94772515875493,0.00320121534108472,"**","Positive"
"3GCR-Kp","Temperature","United States of America","North America","Temperate Zone",15,0.039940248505732,0.0145100399870211,1.04074858605132,1.01156695593529,1.07077204629162,2.75259396538242,0.00591251761618774,"**","Positive"
"CR-Ab","Temperature","United States of America","North America","Temperate Zone",15,-0.0701785798679279,0.0342236842666265,0.932227328007226,0.871746157679559,0.996904641824576,-2.05058518309097,0.0403073605244987,"*","Negative"
"CR-Ec","Temperature","United States of America","North America","Temperate Zone",15,0.0146179544226495,0.00708598840696529,1.01472531923179,1.00072968323438,1.02891669023163,2.06293795348022,0.0391185235801156,"*","Positive"
"CR-Kp","Temperature","United States of America","North America","Temperate Zone",15,-0.0758170959586313,0.0257693486923955,0.926985740492916,0.881328351419448,0.975008419612538,-2.94214249896836,0.0032594989899616,"**","Negative"
"CR-Pa","Temperature","United States of America","North America","Temperate Zone",16,-0.018898693791358,0.0118019191497903,0.981278766839059,0.95884057832642,1.00424203982884,-1.6013237806068,0.109305224569019,"","Negative"
"3GCR-Ec","Temperature","Venezuela","Latin America and the Caribbean","Tropical Zone",11,0.0617633042212807,0.0342218258379992,1.06371053913416,0.994702606517853,1.13750592755159,1.80479278088956,0.071107114497176,"","Positive"
"3GCR-Kp","Temperature","Venezuela","Latin America and the Caribbean","Tropical Zone",11,0.0383991914095697,0.0181803851535125,1.0391459682374,1.00276946440938,1.07684206752352,2.11212199770976,0.0346759866640819,"*","Positive"
"CR-Ab","Temperature","Venezuela","Latin America and the Caribbean","Tropical Zone",10,0.118214504327829,0.0333779834905894,1.12548550698837,1.05421209305827,1.20157759029886,3.54169101800769,0.000397570881144395,"***","Positive"
"CR-Ec","Temperature","Venezuela","Latin America and the Caribbean","Tropical Zone",11,-0.00704101067805519,0.00670708174823641,0.992983719162565,0.980015500207241,1.00612354224337,-1.04978751450384,0.293815816891467,"","Negative"
"CR-Kp","Temperature","Venezuela","Latin America and the Caribbean","Tropical Zone",11,-0.00839906192002923,0.0272943128772061,0.991636111656637,0.939980719442947,1.04613015735498,-0.307722050297277,0.758293839659346,"","Negative"
"CR-Pa","Temperature","Venezuela","Latin America and the Caribbean","Tropical Zone",12,-0.00693732284176145,0.00968463073267265,0.993086684833932,0.974413819963222,1.0121173811263,-0.71632290721806,0.473791985360082,"","Negative"
"3GCR-Ec","Relative Humidity","Argentina","Latin America and the Caribbean","Temperate Zone",4,-2.79017733387003e-06,0.000521140636893306,0.999997209826559,0.998976298514597,1.00101916446648,-0.00535398150968078,0.995728161223405,"","Negative"
"3GCR-Kp","Relative Humidity","Argentina","Latin America and the Caribbean","Temperate Zone",4,-0.110799579566042,0.0410566168696612,0.895118130916765,0.825909109343099,0.970126687346019,-2.69870213412341,0.00696104500000413,"**","Negative"
"CR-Ab","Relative Humidity","Argentina","Latin America and the Caribbean","Temperate Zone",4,-4.03684379040173e-07,0.000278624570976726,0.999999596315702,0.999453641464717,1.00054584939633,-0.00144884701885784,0.99884398773713,"","Negative"
"CR-Ec","Relative Humidity","Argentina","Latin America and the Caribbean","Temperate Zone",4,1.27599736438976e-06,0.000222718542655273,1.00000127599818,0.999564842362321,1.00043790019128,0.00572919232129121,0.995428790908276,"","Positive"
"CR-Kp","Relative Humidity","Argentina","Latin America and the Caribbean","Temperate Zone",4,-0.0117181061879037,0.0236290684282969,0.988350283425508,0.943620618962158,1.03520023102257,-0.495919093190771,0.619951494650385,"","Negative"
"CR-Pa","Relative Humidity","Argentina","Latin America and the Caribbean","Temperate Zone",2,3.35086819503024e-07,0.000168418854179675,1.00000033508688,0.999670288499415,1.00033049064101,0.00198960396171287,0.998412526764179,"","Positive"
"3GCR-Ec","Relative Humidity","Australia","East Asia and Pacific","Temperate Zone",4,-4.46411330644379e-06,0.00106068858329706,0.999995535896658,0.9979187550634,1.00207663874371,-0.00420869365121993,0.996641958228102,"","Negative"
"3GCR-Kp","Relative Humidity","Australia","East Asia and Pacific","Temperate Zone",4,-0.171509924558018,0.0771820649964274,0.842391907611177,0.724128242359738,0.979970238001385,-2.22214739351632,0.0262733462795066,"*","Negative"
"CR-Ab","Relative Humidity","Australia","East Asia and Pacific","Temperate Zone",1,-6.1450328610784e-07,0.000453787478192696,0.999999385496903,0.999110358005758,1.0008892040617,-0.00135416536515117,0.998919532692592,"","Negative"
"CR-Ec","Relative Humidity","Australia","East Asia and Pacific","Temperate Zone",4,4.01970016285053e-06,0.000627748721112441,1.00000401970824,0.998774383888454,1.00123516938769,0.0064033585854658,0.994890893962176,"","Positive"
"CR-Kp","Relative Humidity","Australia","East Asia and Pacific","Temperate Zone",4,-0.0231469148100924,0.0467437599319954,0.977118919987145,0.891575921056581,1.07086941363937,-0.495187268712817,0.620467936581167,"","Negative"
"CR-Pa","Relative Humidity","Australia","East Asia and Pacific","Temperate Zone",1,-2.41180476580586e-07,0.000512837583846041,0.999999758819552,0.998995102403285,1.00100542558563,-0.000470286274207608,0.999624765856484,"","Negative"
"3GCR-Ec","Relative Humidity","Austria","Europe and Central Asia","Temperate Zone",19,6.70727930619899e-07,0.000141170307209758,1.00000067072816,0.999724015016664,1.00027740299916,0.00475119693281745,0.996209107584497,"","Positive"
"3GCR-Kp","Relative Humidity","Austria","Europe and Central Asia","Temperate Zone",15,0.03509392453599,0.0144801072569379,1.0357169834684,1.00673549642399,1.06553277763151,2.42359562075587,0.0153677069480824,"*","Positive"
"CR-Ab","Relative Humidity","Austria","Europe and Central Asia","Temperate Zone",7,1.59417697174687e-07,0.000126684376490442,1.00000015941771,0.999751888824446,1.00024849166456,0.00125838482685128,0.998995954440097,"","Positive"
"CR-Ec","Relative Humidity","Austria","Europe and Central Asia","Temperate Zone",19,-3.59004041388809e-07,7.59264729282674e-05,0.999999640996023,0.99985083623504,1.00014846790317,-0.004728311846225,0.996227367036658,"","Negative"
"CR-Kp","Relative Humidity","Austria","Europe and Central Asia","Temperate Zone",15,0.00376134738519916,0.00791908889226709,1.00376843012971,0.988308812469594,1.01946987481311,0.474972239403964,0.634806760187351,"","Positive"
"CR-Pa","Relative Humidity","Austria","Europe and Central Asia","Temperate Zone",16,-7.56570955312751e-08,5.32534090582007e-05,0.999999924342907,0.999895553116106,1.0001043064642,-0.00142069957340364,0.998866446126167,"","Negative"
"3GCR-Ec","Relative Humidity","Bahrain","Middle East and North Africa","Temperate Zone",1,-2.72056538738169e-06,0.000501547777586308,0.999997279438313,0.999014731486619,1.0009807937426,-0.00542433943277424,0.995672024538047,"","Negative"
"3GCR-Kp","Relative Humidity","Bahrain","Middle East and North Africa","Temperate Zone",1,-0.100186542386087,0.0382076570996426,0.904668643247294,0.839395280722856,0.975017816838452,-2.62215875013766,0.00873747209430016,"**","Negative"
"CR-Ec","Relative Humidity","Bahrain","Middle East and North Africa","Temperate Zone",1,1.18279597661508e-06,0.000210986370576869,1.00000118279668,0.999587734514425,1.00041480208891,0.00560603025390283,0.995527058441981,"","Positive"
"CR-Kp","Relative Humidity","Bahrain","Middle East and North Africa","Temperate Zone",1,-0.0117668999408503,0.0236970932819785,0.988302059282482,0.943448780096245,1.03528774533192,-0.496554568985848,0.619503197120892,"","Negative"
"3GCR-Ec","Relative Humidity","Belarus","Europe and Central Asia","Temperate Zone",4,3.88651935061817e-07,0.000118910828969364,1.00000038865201,0.99976735049425,1.00023348112919,0.00326843180247232,0.997392173369853,"","Positive"
"3GCR-Kp","Relative Humidity","Belarus","Europe and Central Asia","Temperate Zone",3,0.0312676411296253,0.0144932203132688,1.03176160877884,1.00286502567943,1.06149081889528,2.1573977662507,0.0309746851301525,"*","Positive"
"CR-Ab","Relative Humidity","Belarus","Europe and Central Asia","Temperate Zone",4,1.32979818876723e-07,0.000118385672288502,1.00000013297983,0.999768123949541,1.00023219585079,0.00112327629100805,0.999103755378361,"","Positive"
"CR-Ec","Relative Humidity","Belarus","Europe and Central Asia","Temperate Zone",3,-4.01759181439418e-07,7.71719864180988e-05,0.999999598240899,0.999848352647062,1.00015086671344,-0.00520602358558954,0.995846212921019,"","Negative"
"CR-Kp","Relative Humidity","Belarus","Europe and Central Asia","Temperate Zone",4,0.00267504292812635,0.00706373005732799,1.00267862404796,0.988892283368449,1.01665716279852,0.378701182861771,0.704909774879982,"","Positive"
"CR-Pa","Relative Humidity","Belarus","Europe and Central Asia","Temperate Zone",4,-5.9894734511902e-08,5.39557466598854e-05,0.999999940105267,0.999894192439827,1.00010569895446,-0.00111007146077421,0.999114291301964,"","Negative"
"3GCR-Ec","Relative Humidity","Belgium","Europe and Central Asia","Temperate Zone",19,8.88081180279608e-07,0.000173656700339406,1.00000088808157,0.999660578565008,1.00034131344803,0.00511400469169276,0.995919632398305,"","Positive"
"3GCR-Kp","Relative Humidity","Belgium","Europe and Central Asia","Temperate Zone",11,0.0346493189628126,0.0152936868948609,1.03525660027737,1.00468463138516,1.06675885639877,2.26559620325793,0.0234761177657844,"*","Positive"
"CR-Ab","Relative Humidity","Belgium","Europe and Central Asia","Temperate Zone",4,1.51300205421583e-07,0.00012004353238974,1.00000015130022,0.999764893618559,1.00023546434107,0.00126037781802658,0.998994364264469,"","Positive"
"CR-Ec","Relative Humidity","Belgium","Europe and Central Asia","Temperate Zone",10,-3.08264897665641e-07,7.56701433524425e-05,0.99999969173515,0.999851389297796,1.00014801616939,-0.0040737982513111,0.996749588262004,"","Negative"
"CR-Kp","Relative Humidity","Belgium","Europe and Central Asia","Temperate Zone",11,0.00442191302042264,0.00930067348012381,1.00443170410426,0.986287478035963,1.02290972021546,0.47544008827668,0.634473326664589,"","Positive"
"CR-Pa","Relative Humidity","Belgium","Europe and Central Asia","Temperate Zone",12,-8.65515884201179e-08,5.46667018944707e-05,0.999999913448415,0.999892772461982,1.00010706591527,-0.00158325974351257,0.998736742022681,"","Negative"
"3GCR-Ec","Relative Humidity","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,2.1127032341514e-07,0.000103049758481301,1.00000021127035,0.999798254097142,1.00020220923848,0.00205017776391468,0.998364195961214,"","Positive"
"3GCR-Kp","Relative Humidity","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,0.0263444308734646,0.0140856343002346,1.02669451286855,0.998737385414388,1.05543422940659,1.87030490157095,0.0614414892763611,"","Positive"
"CR-Ab","Relative Humidity","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,5.84652866312162e-08,5.83466700250507e-05,1.00000005846529,0.999885705524149,1.00011442448452,0.00100203296274003,0.999200493503408,"","Positive"
"CR-Ec","Relative Humidity","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,-4.86794633788364e-07,7.8762520471888e-05,0.999999513205485,0.999845150655639,1.00015389958682,-0.00618053651498001,0.995068676732535,"","Negative"
"CR-Kp","Relative Humidity","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,0.000419599453741552,0.00278895115173094,1.00041968749791,0.994965968616784,1.00590329991365,0.150450628538665,0.880409099998241,"","Positive"
"CR-Pa","Relative Humidity","Bosnia and Herz.","Europe and Central Asia","Temperate Zone",3,-3.71501585767121e-08,5.59365975948295e-05,0.999999962849842,0.999890333132406,1.00010960458727,-0.000664147627387083,0.999470086900971,"","Negative"
"3GCR-Ec","Relative Humidity","Bulgaria","Europe and Central Asia","Temperate Zone",19,-5.83991221733515e-07,0.00013508660199581,0.999999416008949,0.999734681472054,1.00026422064882,-0.0043230876571433,0.99655068584746,"","Negative"
"3GCR-Kp","Relative Humidity","Bulgaria","Europe and Central Asia","Temperate Zone",14,0.00238264384003158,0.0167592196349369,1.00238548459158,0.969993967433815,1.03585866866586,0.14216913984853,0.886946406988833,"","Positive"
"CR-Ab","Relative Humidity","Bulgaria","Europe and Central Asia","Temperate Zone",8,-2.15112350847875e-08,7.94650567493592e-05,0.999999978488765,0.999844239109523,1.00015574212654,-0.000270700556505435,0.999784012208002,"","Negative"
"CR-Ec","Relative Humidity","Bulgaria","Europe and Central Asia","Temperate Zone",19,-4.44075175841902e-07,8.60273538649101e-05,0.999999555924923,0.999830956600695,1.00016818367969,-0.0051620229600371,0.995881319869073,"","Negative"
"CR-Kp","Relative Humidity","Bulgaria","Europe and Central Asia","Temperate Zone",14,-0.00157093303734681,0.00491624732135318,0.998430300232078,0.988855784222711,1.00809752071694,-0.319539057875229,0.749317778584559,"","Negative"
"CR-Pa","Relative Humidity","Bulgaria","Europe and Central Asia","Temperate Zone",13,5.8086196058099e-09,6.21839619173401e-05,1.00000000580862,0.999878132669688,1.00012189380242,9.34102528483337e-05,0.99992546940154,"","Positive"
"CR-Pa","Relative Humidity","Canada","North America","Temperate Zone",1,-1.39404551056737e-07,6.65047257712659e-05,0.999999860595459,0.999869519846213,1.00013021833563,-0.00209616007644631,0.998327507462823,"","Negative"
"3GCR-Ec","Relative Humidity","China","East Asia and Pacific","Temperate Zone",6,-2.90195823629509e-06,0.000546288586029502,0.999997098045974,0.998926948545041,1.00106839399706,-0.00531213411831814,0.995761550136062,"","Negative"
"3GCR-Kp","Relative Humidity","China","East Asia and Pacific","Temperate Zone",6,-0.112985579853457,0.0415778090572955,0.893163539572281,0.823264219395512,0.968997667610323,-2.71744910122031,0.00657872732221497,"**","Negative"
"CR-Ab","Relative Humidity","China","East Asia and Pacific","Temperate Zone",6,-4.32965750129484e-07,0.000297696627864641,0.999999567034344,0.999416252090781,1.00058322243297,-0.00145438580623207,0.998839568428855,"","Negative"
"CR-Ec","Relative Humidity","China","East Asia and Pacific","Temperate Zone",6,1.41269183174359e-06,0.000235908438603332,1.00000141269283,0.999539138381524,1.0004639008002,0.00598830563292805,0.995222051946182,"","Positive"
"CR-Kp","Relative Humidity","China","East Asia and Pacific","Temperate Zone",6,-0.0126368529413624,0.0254659503483659,0.987442656814676,0.939365984721173,1.03797988894248,-0.496225460605018,0.619735349564893,"","Negative"
"CR-Pa","Relative Humidity","China","East Asia and Pacific","Temperate Zone",7,3.26382645059779e-07,0.00017935039758899,1.0000003263827,0.999648861267011,1.0003519150695,0.00181980441330126,0.998548006956371,"","Positive"
"3GCR-Ec","Relative Humidity","Croatia","Europe and Central Asia","Temperate Zone",18,-3.1407628246242e-07,0.000119308390451187,0.999999685923767,0.9997658688914,1.00023355763934,-0.00263247439073381,0.997899591752869,"","Negative"
"3GCR-Kp","Relative Humidity","Croatia","Europe and Central Asia","Temperate Zone",14,0.00922637596659933,0.015983403819586,1.0092690701766,0.978141344344957,1.04138738425098,0.577247254135779,0.563772439541044,"","Positive"
"CR-Ab","Relative Humidity","Croatia","Europe and Central Asia","Temperate Zone",7,3.59670625069558e-08,6.96166845176728e-05,1.00000003596706,0.999863596569202,1.00013649398317,0.000516644289456578,0.999587777516354,"","Positive"
"CR-Ec","Relative Humidity","Croatia","Europe and Central Asia","Temperate Zone",18,-4.75427125753264e-07,8.36581641100457e-05,0.999999524572987,0.999835568091627,1.0001635079405,-0.00568297345287039,0.995465667629457,"","Negative"
"CR-Kp","Relative Humidity","Croatia","Europe and Central Asia","Temperate Zone",14,-0.000520621634583531,0.00432312940983544,0.999479513865344,0.991046369354708,1.00798441881882,-0.1204270298731,0.904144880471047,"","Negative"
"CR-Pa","Relative Humidity","Croatia","Europe and Central Asia","Temperate Zone",15,-1.20007725651498e-08,5.96083817905148e-05,0.999999987999228,0.999883162396963,1.00011682725131,-0.0002013269309562,0.999839364351201,"","Negative"
"3GCR-Ec","Relative Humidity","Cyprus","Europe and Central Asia","Temperate Zone",16,-1.87139511655864e-06,0.000330296568030175,0.999998128606635,0.999350958050452,1.00064571826456,-0.00566580248689618,0.995479367857535,"","Negative"
"3GCR-Kp","Relative Humidity","Cyprus","Europe and Central Asia","Temperate Zone",13,-0.0580824576649692,0.0271586707652214,0.94357213947356,0.894658272222165,0.995160286373143,-2.13863403577718,0.0324653187580397,"*","Negative"
"CR-Ab","Relative Humidity","Cyprus","Europe and Central Asia","Temperate Zone",6,-2.09468845255701e-07,0.000167735116320443,0.999999790531177,0.999671083807962,1.00032860533805,-0.00124880734488257,0.999003596159086,"","Negative"
"CR-Ec","Relative Humidity","Cyprus","Europe and Central Asia","Temperate Zone",16,3.27318943923491e-07,0.000134014849804276,1.000000327319,0.999737692621925,1.00026303101115,0.00244240801971967,0.998051242287391,"","Positive"
"CR-Kp","Relative Humidity","Cyprus","Europe and Central Asia","Temperate Zone",13,-0.00735988299263514,0.0150973484798871,0.992667134623401,0.963723659233045,1.02247986829091,-0.487495072557945,0.625907533882889,"","Negative"
"CR-Pa","Relative Humidity","Cyprus","Europe and Central Asia","Temperate Zone",15,2.52553203817564e-07,0.000101672578006139,1.00000025255324,0.999800994104612,1.00019955071369,0.00248398544396421,0.998018068403149,"","Positive"
"3GCR-Ec","Relative Humidity","Czechia","Europe and Central Asia","Temperate Zone",17,5.33688502664884e-07,0.000128839083997962,1.00000053368865,0.999748040830911,1.00025309031509,0.00414228730990766,0.996694942360681,"","Positive"
"3GCR-Kp","Relative Humidity","Czechia","Europe and Central Asia","Temperate Zone",13,0.0330750613591514,0.0142444091659173,1.03362812186122,1.00516933453649,1.06289264663553,2.32196793660563,0.0202346621688298,"*","Positive"
"CR-Ab","Relative Humidity","Czechia","Europe and Central Asia","Temperate Zone",5,1.48399577662732e-07,0.000118121134431905,1.00000014839959,0.99976865773984,1.00023169265966,0.00125633383370765,0.998997590894567,"","Positive"
"CR-Ec","Relative Humidity","Czechia","Europe and Central Asia","Temperate Zone",14,-3.95684361090344e-07,7.65182291416824e-05,0.999999604315717,0.999849639891736,1.00014959123241,-0.00517111236797821,0.995874067667604,"","Negative"
"CR-Kp","Relative Humidity","Czechia","Europe and Central Asia","Temperate Zone",12,0.0032968172154574,0.00706643763907623,1.00330225769445,0.989502091194079,1.01729488927107,0.466545858584606,0.640824830498913,"","Positive"
"CR-Pa","Relative Humidity","Czechia","Europe and Central Asia","Temperate Zone",13,-7.0582314973026e-08,5.28764360977963e-05,0.999999929417688,0.999896296980463,1.00010357259571,-0.0013348538627392,0.998934941028286,"","Negative"
"3GCR-Ec","Relative Humidity","Denmark","Europe and Central Asia","Temperate Zone",15,1.98502215242419e-06,0.000336143171248016,1.00000198502412,0.999343360088915,1.00066104403116,0.00590528775299614,0.995288289459596,"","Positive"
"3GCR-Kp","Relative Humidity","Denmark","Europe and Central Asia","Temperate Zone",14,0.0114532539817683,0.0213281776574147,1.01151909361441,0.97010596204739,1.05470012222905,0.537001058681008,0.591266882768928,"","Positive"
"CR-Ab","Relative Humidity","Denmark","Europe and Central Asia","Temperate Zone",8,3.56756375448825e-07,0.00029508236863446,1.00000035675644,0.999422162326381,1.00057888568858,0.00120900607210038,0.999035352956158,"","Positive"
"CR-Ec","Relative Humidity","Denmark","Europe and Central Asia","Temperate Zone",15,3.24756023322348e-07,8.97695206704458e-05,1.00000032475608,0.999824391916414,1.00017628855354,0.00361766466944348,0.997113527510207,"","Positive"
"CR-Kp","Relative Humidity","Denmark","Europe and Central Asia","Temperate Zone",14,0.00905069347764307,0.0182456948977266,1.00909177484862,0.97364271158779,1.04583149234135,0.496045424872844,0.619862362483275,"","Positive"
"CR-Pa","Relative Humidity","Denmark","Europe and Central Asia","Temperate Zone",14,-1.6572621947758e-07,9.09991913766193e-05,0.999999834273794,0.999821491793169,1.00017820856614,-0.00182118342998992,0.998546906662069,"","Negative"
"3GCR-Kp","Relative Humidity","Egypt","Middle East and North Africa","Temperate Zone",2,-0.191958048010521,0.123694772036769,0.825341492483014,0.647653271161008,1.0517797246557,-1.55186872371179,0.120693637892002,"","Negative"
